10 Things I Hate About You;['Comedy', 'Romance'];['Karen McCullah Lutz', 'Kirsten Smith', 'William Shakespeare'];10_Things_I_Hate_About_You;data/scraping/texts/10_Things_I_Hate_About_You.txt
10 Things I Hate About You;['Comedy', 'Romance'];['Karen McCullah Lutz', 'Kirsten Smith', 'William Shakespeare'];10_Things_I_Hate_About_You;data/scraping/texts/10_Things_I_Hate_About_You.txt
12;['Comedy'];['Lawrence Bridges'];12;data/scraping/texts/12.txt
12 and Holding;['Drama'];['Anthony Cipriano'];12_and_Holding;data/scraping/texts/12_and_Holding.txt
12 Monkeys;['Drama', 'Sci-Fi', 'Thriller'];['David Peoples', 'Janet Peoples'];12_Monkeys;data/scraping/texts/12_Monkeys.txt
12 Years a Slave;['Drama'];['John Ridley'];12_Years_a_Slave;data/scraping/texts/12_Years_a_Slave.txt
127 Hours;['Adventure', 'Drama', 'Thriller'];['Simon Beaufoy', 'Danny Boyle'];127_Hours;data/scraping/texts/127_Hours.txt
1492: Conquest of Paradise;['Adventure', 'Drama'];['Roslyne Bosch'];1492:_Conquest_of_Paradise;data/scraping/texts/1492:_Conquest_of_Paradise.txt
15 Minutes;['Action', 'Crime', 'Thriller'];['John Hertzfield'];15_Minutes;data/scraping/texts/15_Minutes.txt
17 Again;['Comedy', 'Drama', 'Romance'];['Jason Filardi'];17_Again;data/scraping/texts/17_Again.txt
187;['Drama'];['Scott Yagemann'];187;data/scraping/texts/187.txt
2001: A Space Odyssey;['Adventure', 'Sci-Fi'];['Stanley Kubrick', 'Arhur C. Clarke'];2001:_A_Space_Odyssey;data/scraping/texts/2001:_A_Space_Odyssey.txt
2012;['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller'];['Roland Emmerich', 'Harald Kloser'];2012;data/scraping/texts/2012.txt
25th Hour;['Crime', 'Drama'];['David Benioff'];25th_Hour;data/scraping/texts/25th_Hour.txt
30 Minutes or Less;['Action', 'Adventure', 'Comedy'];['Michael Diliberti', 'Matthew Sullivan'];30_Minutes_or_Less;data/scraping/texts/30_Minutes_or_Less.txt
42;['Drama'];['Brian Helgeland'];42;data/scraping/texts/42.txt
44 Inch Chest;['Crime', 'Drama'];['Louis Mellis', 'David Scinto'];44_Inch_Chest;data/scraping/texts/44_Inch_Chest.txt
48 Hrs.;['Action', 'Comedy', 'Thriller'];['Steven E. De Souza', 'Walter Hill', 'Roger Spottiswoode', 'Larry Gross', 'Jeb Stuart'];48_Hrs;data/scraping/texts/48_Hrs.txt
50-50;['Comedy', 'Drama'];['Will Reiser'];50-50;data/scraping/texts/50-50.txt
500 Days of Summer;['Comedy', 'Drama', 'Romance'];['Scott Neustadter', 'Michael H. Weber'];500_Days_of_Summer;data/scraping/texts/500_Days_of_Summer.txt
